laureates_id,prize_id,given_name,family_name,gender,birth_date,birth_city,birth_country,birth_country_now,birth_continent,death_date,death_city,death_country,death_country_now,death_continent
573,17,Frédéric,Mistral,male,1830-09-08,Maillane,France,France,Europe,1914-03-25,Maillane,France,France,Europe
574,17,José,Echegaray,male,1832-04-19,Madrid,Spain,Spain,Europe,1916-09-04,Madrid,Spain,Spain,Europe
8,19,Lord,Rayleigh,male,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,United Kingdom,Europe,1919-06-30,NA,United Kingdom,United Kingdom,Europe
296,20,Ivan,Pavlov,male,1849-09-14,Ryazan,Russia,Russia,Europe,1936-02-27,Leningrad,Russia,Russia,Europe
164,21,Adolf,von Baeyer,male,1835-10-31,Berlin,Prussia,Germany,Europe,1917-08-20,Starnberg,Germany,Germany,Europe
575,22,Henryk,Sienkiewicz,male,1846-05-05,Wola Okrzejska,Poland,Poland,Europe,1916-11-15,Vevey,Switzerland,Switzerland,Europe
468,23,Bertha,von Suttner,female,1843-06-09,Prague,Austrian Empire,Czech Republic,Europe,1914-06-21,Vienna,Austria,Austria,Europe
9,24,Philipp,Lenard,male,1862-06-07,Pressburg,Hungary,Slovakia,Europe,1947-05-20,Messelhausen,Germany,Germany,Europe
297,25,Robert,Koch,male,1843-12-11,Clausthal,Germany,Germany,Europe,1910-05-27,Baden-Baden,Germany,Germany,Europe
165,26,Henri,Moissan,male,1852-09-28,Paris,France,France,Europe,1907-02-20,Paris,France,France,Europe
576,27,Giosuè,Carducci,male,1835-07-27,Val di Castello,Tuscany,Italy,Europe,1907-02-16,Bologna,Italy,Italy,Europe
470,28,Theodore,Roosevelt,male,1858-10-27,"New York, NY",USA,USA,North America,1919-01-06,"Oyster Bay, NY",USA,USA,North America
10,29,J.J.,Thomson,male,1856-12-18,Cheetham Hill,United Kingdom,United Kingdom,Europe,1940-08-30,Cambridge,United Kingdom,United Kingdom,Europe
298,30,Camillo,Golgi,male,1843-07-07,Corteno,Italy,Italy,Europe,1926-01-21,Pavia,Italy,Italy,Europe
299,30,Santiago,Ramón y Cajal,male,1852-05-01,Petilla de Aragón,Spain,Spain,Europe,1934-10-17,Madrid,Spain,Spain,Europe
166,31,Eduard,Buchner,male,1860-05-20,Munich,Bavaria,Germany,Europe,1917-08-13,Focsani,Romania,Romania,Europe
577,32,Rudyard,Kipling,male,1865-12-30,Bombay,British India,India,Asia,1936-01-18,London,United Kingdom,United Kingdom,Europe
471,33,Ernesto Teodoro,Moneta,male,1833-09-20,Milan,Austrian Empire,Italy,Europe,1918-02-10,Milan,Italy,Italy,Europe
472,33,Louis,Renault,male,1843-05-21,Autun,France,France,Europe,1918-02-08,Barbizon,France,France,Europe
11,34,Albert A.,Michelson,male,1852-12-19,Strelno,Prussia,Poland,Europe,1931-05-09,"Pasadena, CA",USA,USA,North America
300,35,Alphonse,Laveran,male,1845-06-18,Paris,France,France,Europe,1922-05-18,Paris,France,France,Europe
167,36,Ernest,Rutherford,male,1871-08-30,Nelson,New Zealand,New Zealand,Oceania,1937-10-19,Cambridge,United Kingdom,United Kingdom,Europe
578,37,Rudolf,Eucken,male,1846-01-05,Aurich,East Friesland,Germany,Europe,1926-09-14,Jena,Germany,Germany,Europe
474,38,Fredrik,Bajer,male,1837-04-21,Næstved,Denmark,Denmark,Europe,1922-01-22,Copenhagen,Denmark,Denmark,Europe
473,38,Klas Pontus,Arnoldson,male,1844-10-27,Gothenburg,Sweden,Sweden,Europe,1916-02-20,Stockholm,Sweden,Sweden,Europe
12,39,Gabriel,Lippmann,male,1845-08-16,Hollerich,Luxembourg,Luxembourg,Europe,1921-07-13,NA,NA,NA,NA
301,40,Ilya,Mechnikov,male,1845-05-15,Kharkov,Russian Empire,Ukraine,Europe,1916-07-15,Paris,France,France,Europe
302,40,Paul,Ehrlich,male,1854-03-14,Strehlen,Prussia,Poland,Europe,1915-08-20,Bad Homburg vor der Höhe,Germany,Germany,Europe
168,41,Wilhelm,Ostwald,male,1853-09-02,Riga,Russian Empire,Latvia,Europe,1932-04-04,Leipzig,Germany,Germany,Europe
579,42,Selma,Lagerlöf,female,1858-11-20,Mårbacka,Sweden,Sweden,Europe,1940-03-16,Mårbacka,Sweden,Sweden,Europe
475,43,Auguste,Beernaert,male,1829-07-26,Ostend,Belgium,Belgium,Europe,1912-10-06,Lucerne,Switzerland,Switzerland,Europe
476,43,Paul Henri,d'Estournelles de Constant,male,1852-11-22,La Flèche,France,France,Europe,1924-05-15,Paris,France,France,Europe
14,44,Ferdinand,Braun,male,1850-06-06,Fulda,Hesse-Kassel,Germany,Europe,1918-04-20,"Brooklyn, NY",USA,USA,North America
13,44,Guglielmo,Marconi,male,1874-04-25,Bologna,Italy,Italy,Europe,1937-07-20,Rome,Italy,Italy,Europe
303,45,Theodor,Kocher,male,1841-08-25,Bern,Switzerland,Switzerland,Europe,1917-07-27,Bern,Switzerland,Switzerland,Europe
169,46,Otto,Wallach,male,1847-03-27,Koenigsberg,Germany,Russia,Europe,1931-02-26,Göttingen,Germany,Germany,Europe
580,47,Paul,Heyse,male,1830-03-15,Berlin,Prussia,Germany,Europe,1914-04-02,Munich,Germany,Germany,Europe
15,49,Johannes Diderik,van der Waals,male,1837-11-23,Leiden,the Netherlands,the Netherlands,Europe,1923-03-08,Amsterdam,the Netherlands,the Netherlands,Europe
304,50,Albrecht,Kossel,male,1853-09-16,Rostock,Mecklenburg,Germany,Europe,1927-07-05,Heidelberg,Germany,Germany,Europe
6,51,Marie,Curie,female,1867-11-07,Warsaw,Russian Empire,Poland,Europe,1934-07-04,Sallanches,France,France,Europe
581,52,Maurice,Maeterlinck,male,1862-08-29,Ghent,Belgium,Belgium,Europe,1949-05-06,Nice,France,France,Europe
479,53,Alfred,Fried,male,1864-11-11,Vienna,Austria,Austria,Europe,1921-05-04,Vienna,Austria,Austria,Europe
478,53,Tobias,Asser,male,1838-04-28,Amsterdam,the Netherlands,the Netherlands,Europe,1913-07-29,the Hague,the Netherlands,the Netherlands,Europe
16,54,Wilhelm,Wien,male,1864-01-13,Gaffken,Prussia,Russia,Europe,1928-08-30,Munich,Germany,Germany,Europe
305,55,Allvar,Gullstrand,male,1862-06-05,Landskrona,Sweden,Sweden,Europe,1930-07-28,Stockholm,Sweden,Sweden,Europe
173,56,Paul,Sabatier,male,1854-11-05,Carcassonne,France,France,Europe,1941-08-14,Toulouse,France,France,Europe
172,56,Victor,Grignard,male,1871-05-06,Cherbourg,France,France,Europe,1935-12-13,Lyon,France,France,Europe
582,57,Gerhart,Hauptmann,male,1862-11-15,Bad Salzbrunn,Prussia,Poland,Europe,1946-06-06,Agnetendorf,Germany,Poland,Europe
480,58,Elihu,Root,male,1845-02-15,"Clinton, NY",USA,USA,North America,1937-02-07,"New York, NY",USA,USA,North America
17,59,Gustaf,Dalén,male,1869-11-30,Stenstorp,Sweden,Sweden,Europe,1937-12-09,Stockholm,Sweden,Sweden,Europe
306,60,Alexis,Carrel,male,1873-06-28,Sainte-Foy-lès-Lyon,France,France,Europe,1944-11-05,Paris,France,France,Europe
174,61,Alfred,Werner,male,1866-12-12,Mulhouse,France,France,Europe,1919-11-15,Zurich,Switzerland,Switzerland,Europe
583,62,Rabindranath,Tagore,male,1861-05-07,Calcutta,India,India,Asia,1941-08-07,Calcutta,India,India,Asia
481,63,Henri,La Fontaine,male,1854-04-22,Brussels,Belgium,Belgium,Europe,1943-05-14,Brussels,Belgium,Belgium,Europe
18,64,Heike,Kamerlingh Onnes,male,1853-09-21,Groningen,the Netherlands,the Netherlands,Europe,1926-02-21,Leiden,the Netherlands,the Netherlands,Europe
307,65,Charles,Richet,male,1850-08-26,Paris,France,France,Europe,1935-12-04,Paris,France,France,Europe
175,66,Theodore W.,Richards,male,1868-01-31,"Germantown, PA",USA,USA,North America,1928-04-02,"Cambridge, MA",USA,USA,North America
19,69,Max,von Laue,male,1879-10-09,Pfaffendorf,Germany,Germany,Europe,1960-04-23,Berlin,West Germany,Germany,Europe
308,70,Robert,Bárány,male,1876-04-22,Vienna,Austria,Austria,Europe,1936-04-08,Uppsala,Sweden,Sweden,Europe
176,71,Richard,Willstätter,male,1872-08-13,Karlsruhe,Germany,Germany,Europe,1942-08-03,Locarno,Switzerland,Switzerland,Europe
584,72,Romain,Rolland,male,1866-01-29,Clamecy,France,France,Europe,1944-12-30,Vézelay,France,France,Europe
21,74,Lawrence,Bragg,male,1890-03-31,Adelaide,Australia,Australia,Oceania,1971-07-01,Ipswich,United Kingdom,United Kingdom,Europe
20,74,William,Bragg,male,1862-07-02,Wigton,United Kingdom,United Kingdom,Europe,1942-03-12,London,United Kingdom,United Kingdom,Europe
585,77,Verner,von Heidenstam,male,1859-07-06,Olshammar,Sweden,Sweden,Europe,1940-05-20,Övralid,Sweden,Sweden,Europe
587,82,Henrik,Pontoppidan,male,1857-07-24,Fredericia,Denmark,Denmark,Europe,1943-08-21,Ordrup,Denmark,Denmark,Europe
586,82,Karl,Gjellerup,male,1857-06-02,Roholte,Denmark,Denmark,Europe,1919-10-11,Klotzsche,Germany,Germany,Europe
22,84,Charles Glover,Barkla,male,1877-06-07,Widnes,United Kingdom,United Kingdom,Europe,1944-10-23,Edinburgh,Scotland,Scotland,Europe
177,86,Fritz,Haber,male,1868-12-09,Breslau,Prussia,Poland,Europe,1934-01-29,Basel,Switzerland,Switzerland,Europe
23,89,Max,Planck,male,1858-04-23,Kiel,Schleswig,Germany,Europe,1947-10-04,Göttingen,West Germany,Germany,Europe
588,92,Carl,Spitteler,male,1845-04-24,Liestal,Switzerland,Switzerland,Europe,1924-12-29,Lucerne,Switzerland,Switzerland,Europe
483,93,Woodrow,Wilson,male,1856-12-28,"Staunton, VA",USA,USA,North America,1924-02-03,"Washington, D.C.",USA,USA,North America
24,94,Johannes,Stark,male,1874-04-15,Schickenhof,Germany,Germany,Europe,1957-06-21,Traunstein,West Germany,Germany,Europe
309,95,Jules,Bordet,male,1870-06-13,Soignies,Belgium,Belgium,Europe,1961-04-06,Brussels,Belgium,Belgium,Europe
178,96,Walther,Nernst,male,1864-06-25,Briesen,Prussia,Poland,Europe,1941-11-18,Zibelle,Germany,Poland,Europe
589,97,Knut,Hamsun,male,1859-08-04,Lom,Norway,Norway,Europe,1952-02-19,Grimstad,Norway,Norway,Europe
484,98,Léon,Bourgeois,male,1851-05-21,Paris,France,France,Europe,1925-09-29,Épernay,France,France,Europe
25,99,Charles Edouard,Guillaume,male,1861-02-15,Fleurier,Switzerland,Switzerland,Europe,1938-06-13,Sèvres,France,France,Europe
310,100,August,Krogh,male,1874-11-15,Grenå,Denmark,Denmark,Europe,1949-09-13,Copenhagen,Denmark,Denmark,Europe
179,101,Frederick,Soddy,male,1877-09-02,Eastbourne,United Kingdom,United Kingdom,Europe,1956-09-22,Brighton,United Kingdom,United Kingdom,Europe
590,102,Anatole,France,male,1844-04-16,Paris,France,France,Europe,1924-10-12,Saint-Cyr-sur-Loire,France,France,Europe
486,103,Christian,Lange,male,1869-09-17,Stavanger,Norway,Norway,Europe,1938-12-11,Oslo,Norway,Norway,Europe
485,103,Hjalmar,Branting,male,1860-11-23,Stockholm,Sweden,Sweden,Europe,1925-02-24,Stockholm,Sweden,Sweden,Europe
26,104,Albert,Einstein,male,1879-03-14,Ulm,Germany,Germany,Europe,1955-04-18,"Princeton, NJ",USA,USA,North America
180,106,Francis W.,Aston,male,1877-09-01,Harborne,United Kingdom,United Kingdom,Europe,1945-11-20,Cambridge,United Kingdom,United Kingdom,Europe
592,107,Jacinto,Benavente,male,1866-08-12,Madrid,Spain,Spain,Europe,1954-07-14,Madrid,Spain,Spain,Europe
487,108,Fridtjof,Nansen,male,1861-10-10,Kristiania,Norway,Norway,Europe,1930-05-13,Oslo,Norway,Norway,Europe
27,109,Niels,Bohr,male,1885-10-07,Copenhagen,Denmark,Denmark,Europe,1962-11-18,Copenhagen,Denmark,Denmark,Europe
311,110,Archibald V.,Hill,male,1886-09-26,Bristol,United Kingdom,United Kingdom,Europe,1977-06-03,Cambridge,United Kingdom,United Kingdom,Europe
312,110,Otto,Meyerhof,male,1884-04-12,Hanover,Germany,Germany,Europe,1951-10-06,"Philadelphia, PA",USA,USA,North America
181,111,Fritz,Pregl,male,1869-09-03,Laibach,Austria-Hungary,Slovenia,Europe,1930-12-13,Graz,Austria,Austria,Europe
593,112,William Butler,Yeats,male,1865-06-13,Dublin,Ireland,Ireland,Europe,1939-01-28,Roquebrune-Cap-Martin,France,France,Europe
28,114,Robert A.,Millikan,male,1868-03-22,"Morrison, IL",USA,USA,North America,1953-12-19,"San Marino, CA",USA,USA,North America
313,115,Frederick G.,Banting,male,1891-11-14,Alliston,Canada,Canada,North America,1941-02-21,Newfoundland,Canada,Canada,North America
314,115,John,Macleod,male,1876-09-06,Cluny,Scotland,Scotland,Europe,1935-03-16,Aberdeen,Scotland,Scotland,Europe
594,117,Władysław,Reymont,male,1867-05-07,Kobiele Wielkie,Russian Empire,Poland,Europe,1925-12-05,Warsaw,Poland,Poland,Europe
29,119,Manne,Siegbahn,male,1886-12-03,Örebro,Sweden,Sweden,Europe,1978-09-26,Stockholm,Sweden,Sweden,Europe
315,120,Willem,Einthoven,male,1860-05-21,Semarang,"Java, Dutch East Indies",Indonesia,Asia,1927-09-29,Leiden,the Netherlands,the Netherlands,Europe
182,121,Richard,Zsigmondy,male,1865-04-01,Vienna,Austrian Empire,Austria,Europe,1929-09-24,Göttingen,Germany,Germany,Europe
596,122,George Bernard,Shaw,male,1856-07-26,Dublin,Ireland,Ireland,Europe,1950-11-02,Ayot St. Lawrence,United Kingdom,United Kingdom,Europe
489,123,Charles G.,Dawes,male,1865-08-27,"Marietta, OH",USA,USA,North America,1951-04-23,"Evanston, IL",USA,USA,North America
488,123,Sir Austen,Chamberlain,male,1863-10-16,Birmingham,United Kingdom,United Kingdom,Europe,1937-03-16,London,United Kingdom,United Kingdom,Europe
31,124,Gustav,Hertz,male,1887-07-22,Hamburg,Germany,Germany,Europe,1975-10-30,Berlin,East Germany,Germany,Europe
30,124,James,Franck,male,1882-08-26,Hamburg,Germany,Germany,Europe,1964-05-21,Göttingen,West Germany,Germany,Europe
183,126,The,Svedberg,male,1884-08-30,Fleräng,Sweden,Sweden,Europe,1971-02-25,Örebro,Sweden,Sweden,Europe
597,127,Grazia,Deledda,female,1871-09-27,"Nuoro, Sardinia",Italy,Italy,Europe,1936-08-15,Rome,Italy,Italy,Europe
490,128,Aristide,Briand,male,1862-03-28,Nantes,France,France,Europe,1932-03-07,Paris,France,France,Europe
491,128,Gustav,Stresemann,male,1878-05-10,Berlin,Germany,Germany,Europe,1929-10-03,Berlin,Germany,Germany,Europe
32,129,Jean Baptiste,Perrin,male,1870-09-30,Lille,France,France,Europe,1942-04-17,"New York, NY",USA,USA,North America
316,130,Johannes,Fibiger,male,1867-04-23,Silkeborg,Denmark,Denmark,Europe,1928-01-30,Copenhagen,Denmark,Denmark,Europe
184,131,Heinrich,Wieland,male,1877-06-04,Pforzheim,Germany,Germany,Europe,1957-08-05,Munich,West Germany,Germany,Europe
600,132,Henri,Bergson,male,1859-10-18,Paris,France,France,Europe,1941-01-04,Paris,France,France,Europe
492,133,Ferdinand,Buisson,male,1841-12-20,Paris,France,France,Europe,1932-02-16,Thieuloy-Saint-Antoine,France,France,Europe
493,133,Ludwig,Quidde,male,1858-03-23,Bremen,Germany,Germany,Europe,1941-03-04,Geneva,Switzerland,Switzerland,Europe
33,134,Arthur H.,Compton,male,1892-09-10,"Wooster, OH",USA,USA,North America,1962-03-15,"Berkeley, CA",USA,USA,North America
34,134,C.T.R.,Wilson,male,1869-02-14,Glencorse,Scotland,Scotland,Europe,1959-11-15,Carlops,Scotland,Scotland,Europe
317,135,Julius,Wagner-Jauregg,male,1857-03-07,Wels,Austria,Austria,Europe,1940-09-27,Vienna,Austria,Austria,Europe
185,136,Adolf,Windaus,male,1876-12-25,Berlin,Germany,Germany,Europe,1959-06-09,Göttingen,West Germany,Germany,Europe
601,137,Sigrid,Undset,female,1882-05-20,Kalundborg,Denmark,Denmark,Europe,1949-06-10,Lillehammer,Norway,Norway,Europe
35,139,Owen Willans,Richardson,male,1879-04-26,Dewsbury,United Kingdom,United Kingdom,Europe,1959-02-15,Alton,United Kingdom,United Kingdom,Europe
318,140,Charles,Nicolle,male,1866-09-21,Rouen,France,France,Europe,1936-02-28,Tunis,Tunisia,Tunisia,Africa
186,141,Arthur,Harden,male,1865-10-12,Manchester,United Kingdom,United Kingdom,Europe,1940-06-17,Bourne,United Kingdom,United Kingdom,Europe
187,141,Hans,von Euler-Chelpin,male,1873-02-15,Augsburg,Germany,Germany,Europe,1964-11-06,Stockholm,Sweden,Sweden,Europe
602,142,Thomas,Mann,male,1875-06-06,Lübeck,Germany,Germany,Europe,1955-08-12,Zurich,Switzerland,Switzerland,Europe
494,143,Frank B.,Kellogg,male,1856-12-22,"Potsdam, NY",USA,USA,North America,1937-12-21,"St. Paul, MN",USA,USA,North America
36,144,Louis,de Broglie,male,1892-08-15,Dieppe,France,France,Europe,1987-03-19,Paris,France,France,Europe
319,145,Christiaan,Eijkman,male,1858-08-11,Nijkerk,the Netherlands,the Netherlands,Europe,1930-11-05,Utrecht,the Netherlands,the Netherlands,Europe
320,145,Sir Frederick,Hopkins,male,1861-06-20,Eastbourne,United Kingdom,United Kingdom,Europe,1947-05-16,Cambridge,United Kingdom,United Kingdom,Europe
188,146,Hans,Fischer,male,1881-07-27,Hoechst,Germany,Germany,Europe,1945-03-31,Munich,Germany,Germany,Europe
603,147,Sinclair,Lewis,male,1885-02-07,"Sauk Centre, MN",USA,USA,North America,1951-01-10,Rome,Italy,Italy,Europe
495,148,Nathan,Söderblom,male,1866-01-15,Trönö,Sweden,Sweden,Europe,1931-07-12,Uppsala,Sweden,Sweden,Europe
37,149,Sir Chandrasekhara Venkata,Raman,male,1888-11-07,Tiruchirappalli,India,India,Asia,1970-11-21,Bangalore,India,India,Asia
321,150,Karl,Landsteiner,male,1868-06-14,Vienna,Austrian Empire,Austria,Europe,1943-06-26,"New York, NY",USA,USA,North America
189,151,Carl,Bosch,male,1874-08-27,Cologne,Germany,Germany,Europe,1940-04-26,Heidelberg,Germany,Germany,Europe
190,151,Friedrich,Bergius,male,1884-10-11,"Goldschmieden, near Breslau",Germany,Poland,Europe,1949-03-30,Buenos Aires,Argentina,Argentina,South America
604,152,Erik Axel,Karlfeldt,male,1864-07-20,Karlbo,Sweden,Sweden,Europe,1931-04-08,Stockholm,Sweden,Sweden,Europe
496,153,Jane,Addams,female,1860-09-06,"Cedarville, IL",USA,USA,North America,1935-05-21,"Chicago, IL",USA,USA,North America
497,153,Nicholas Murray,Butler,male,1862-04-02,"Elizabeth, NJ",USA,USA,North America,1947-12-07,"New York, NY",USA,USA,North America
322,155,Otto,Warburg,male,1883-10-08,Freiburg im Breisgau,Germany,Germany,Europe,1970-08-01,West Berlin,West Germany,Germany,Europe
191,156,Irving,Langmuir,male,1881-01-31,"Brooklyn, NY",USA,USA,North America,1957-08-16,"Falmouth, MA",USA,USA,North America
605,157,John,Galsworthy,male,1867-08-14,Kingston Hill,United Kingdom,United Kingdom,Europe,1933-01-31,London,United Kingdom,United Kingdom,Europe
38,159,Werner,Heisenberg,male,1901-12-05,Würzburg,Germany,Germany,Europe,1976-02-01,Munich,West Germany,Germany,Europe
324,160,Edgar,Adrian,male,1889-11-30,London,United Kingdom,United Kingdom,Europe,1977-08-08,Cambridge,United Kingdom,United Kingdom,Europe
323,160,Sir Charles,Sherrington,male,1857-11-27,London,United Kingdom,United Kingdom,Europe,1952-03-04,Eastbourne,United Kingdom,United Kingdom,Europe
606,162,Ivan,Bunin,male,1870-10-22,Voronezh,Russia,Russia,Europe,1953-11-08,Paris,France,France,Europe
498,163,Sir Norman,Angell,male,1872-12-26,Holbeach,United Kingdom,United Kingdom,Europe,1967-10-07,Croydon,United Kingdom,United Kingdom,Europe
39,164,Erwin,Schrödinger,male,1887-08-12,Vienna,Austria,Austria,Europe,1961-01-04,Vienna,Austria,Austria,Europe
40,164,Paul A.M.,Dirac,male,1902-08-08,Bristol,United Kingdom,United Kingdom,Europe,1984-10-20,"Tallahassee, FL",USA,USA,North America
325,165,Thomas H.,Morgan,male,1866-09-25,"Lexington, KY",USA,USA,North America,1945-12-04,"Pasadena, CA",USA,USA,North America
192,166,Harold C.,Urey,male,1893-04-29,"Walkerton, IN",USA,USA,North America,1981-01-05,"La Jolla, CA",USA,USA,North America
607,167,Luigi,Pirandello,male,1867-06-28,"Agrigento, Sicily",Italy,Italy,Europe,1936-12-10,Rome,Italy,Italy,Europe
499,168,Arthur,Henderson,male,1863-09-13,Glasgow,Scotland,Scotland,Europe,1935-10-20,London,United Kingdom,United Kingdom,Europe
326,170,George H.,Whipple,male,1878-08-28,"Ashland, NH",USA,USA,North America,1976-02-01,"Rochester, NY",USA,USA,North America
327,170,George R.,Minot,male,1885-12-02,"Boston, MA",USA,USA,North America,1950-02-25,"Brookline, MA",USA,USA,North America
328,170,William P.,Murphy,male,1892-02-06,"Stoughton, WI",USA,USA,North America,1987-10-09,"Brookline, MA",USA,USA,North America
193,171,Frédéric,Joliot,male,1900-03-19,Paris,France,France,Europe,1958-08-14,Paris,France,France,Europe
194,171,Irène,Joliot-Curie,female,1897-09-12,Paris,France,France,Europe,1956-03-17,Paris,France,France,Europe
500,173,Carl,von Ossietzky,male,1889-10-03,Hamburg,Germany,Germany,Europe,1938-05-04,Berlin,Germany,Germany,Europe
41,174,James,Chadwick,male,1891-10-20,Manchester,United Kingdom,United Kingdom,Europe,1974-07-24,Cambridge,United Kingdom,United Kingdom,Europe
329,175,Hans,Spemann,male,1869-06-27,Stuttgart,Württemberg,Germany,Europe,1941-09-12,Freiburg im Breisgau,Germany,Germany,Europe
195,176,Peter,Debye,male,1884-03-24,Maastricht,the Netherlands,the Netherlands,Europe,1966-11-02,"Ithaca, NY",USA,USA,North America
608,177,Eugene,O'Neill,male,1888-10-16,"New York, NY",USA,USA,North America,1953-11-27,"Boston, MA",USA,USA,North America
501,178,Carlos,Saavedra Lamas,male,1878-11-01,Buenos Aires,Argentina,Argentina,South America,1959-05-05,Buenos Aires,Argentina,Argentina,South America
43,179,Carl D.,Anderson,male,1905-09-03,"New York, NY",USA,USA,North America,1991-01-11,"San Marino, CA",USA,USA,North America
42,179,Victor F.,Hess,male,1883-06-24,Peggau,Austria,Austria,Europe,1964-12-17,"Mount Vernon, NY",USA,USA,North America
331,180,Otto,Loewi,male,1873-06-03,Frankfurt-on-the-Main,Germany,Germany,Europe,1961-12-25,"New York, NY",USA,USA,North America
330,180,Sir Henry,Dale,male,1875-06-09,London,United Kingdom,United Kingdom,Europe,1968-07-23,Cambridge,United Kingdom,United Kingdom,Europe
196,181,Norman,Haworth,male,1883-03-19,Chorley,United Kingdom,United Kingdom,Europe,1950-03-19,Birmingham,United Kingdom,United Kingdom,Europe
197,181,Paul,Karrer,male,1889-04-21,Moscow,Russia,Russia,Europe,1971-06-18,Zurich,Switzerland,Switzerland,Europe
609,182,Roger,Martin du Gard,male,1881-03-23,Neuilly-sur-Seine,France,France,Europe,1958-08-22,Bellême,France,France,Europe
502,183,Robert,Cecil,male,1864-09-14,London,United Kingdom,United Kingdom,Europe,1958-11-24,Tunbridge Wells,United Kingdom,United Kingdom,Europe
44,184,Clinton,Davisson,male,1881-10-22,"Bloomington, IL",USA,USA,North America,1958-02-01,"Charlottesville, VA",USA,USA,North America
45,184,George Paget,Thomson,male,1892-05-03,Cambridge,United Kingdom,United Kingdom,Europe,1975-09-10,Cambridge,United Kingdom,United Kingdom,Europe
332,185,Albert,Szent-Györgyi,male,1893-09-16,Budapest,Austria-Hungary,Hungary,Europe,1986-10-22,"Woods Hole, MA",USA,USA,North America
198,186,Richard,Kuhn,male,1900-12-03,Vienna,Austria-Hungary,Austria,Europe,1967-07-31,Heidelberg,West Germany,Germany,Europe
610,187,Pearl,Buck,female,1892-06-26,"Hillsboro, WV",USA,USA,North America,1973-03-06,"Danby, VT",USA,USA,North America
46,189,Enrico,Fermi,male,1901-09-29,Rome,Italy,Italy,Europe,1954-11-28,"Chicago, IL",USA,USA,North America
333,190,Corneille,Heymans,male,1892-03-28,Ghent,Belgium,Belgium,Europe,1968-07-18,Knokke,Belgium,Belgium,Europe
199,191,Adolf,Butenandt,male,1903-03-24,Bremerhaven-Lehe,Germany,Germany,Europe,1995-01-18,Munich,Germany,Germany,Europe
200,191,Leopold,Ruzicka,male,1887-09-13,Vukovar,Austria-Hungary,Croatia,Europe,1976-09-26,Zurich,Switzerland,Switzerland,Europe
